session_id,round_number,group_num,tick,x_t,p1_decision,p2_decision,p3_decision,p4_decision,p5_decision,p6_decision,p7_decision,p8_decision,p9_decision,p10_decision
e7qed11a,15,1,1,100,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,2,89.49,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,3,76.06,1,1,1,1,1,1,0,1,1,1
e7qed11a,15,1,4,90.32,0,1,1,1,1,1,0,1,1,1
e7qed11a,15,1,5,114.51,0,0,0,1,1,0,0,1,1,1
e7qed11a,15,1,6,112.1,0,0,0,1,1,0,0,1,1,0
e7qed11a,15,1,7,101.98,0,0,0,1,1,1,0,1,1,1
e7qed11a,15,1,8,95.67,0,1,0,1,1,1,1,1,1,1
e7qed11a,15,1,9,87.93,0,1,0,1,1,1,1,1,1,1
e7qed11a,15,1,10,80.16,0,1,0,1,1,0,1,1,1,1
e7qed11a,15,1,11,105.48,0,1,0,1,1,0,0,0,1,0
e7qed11a,15,1,12,102.46,0,1,0,1,1,0,0,0,1,0
e7qed11a,15,1,13,89.96,1,1,0,1,1,0,0,0,1,1
e7qed11a,15,1,14,77.52,1,1,1,1,1,0,0,0,1,1
e7qed11a,15,1,15,109.79,0,1,0,1,1,0,0,0,1,1
e7qed11a,15,1,16,101.37,0,1,0,1,1,0,0,0,1,0
e7qed11a,15,1,17,96.34,0,1,0,1,1,0,0,0,1,0
e7qed11a,15,1,18,105.19,0,1,0,1,1,0,1,0,1,0
e7qed11a,15,1,19,110.35,0,1,0,1,1,1,1,0,1,0
e7qed11a,15,1,20,134.65,0,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,21,122.52,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,22,108.14,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,23,129.57,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,24,124.25,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,25,118.85,1,1,0,1,1,1,0,0,1,0
e7qed11a,15,1,26,108.32,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,27,112.1,1,1,0,1,1,1,0,0,1,1
e7qed11a,15,1,28,126.2,1,1,0,1,1,1,0,1,1,1
e7qed11a,15,1,29,124.45,1,1,0,1,1,1,0,1,1,1
e7qed11a,15,1,30,124.03,1,1,0,1,1,1,0,1,1,1
e7qed11a,15,1,31,98.82,1,1,0,1,0,1,0,1,1,1
e7qed11a,15,1,32,111.29,1,1,0,1,0,1,0,1,1,1
e7qed11a,15,1,33,115.64,0,1,0,1,0,1,0,1,1,1
e7qed11a,15,1,34,100.38,0,1,0,1,0,1,0,1,1,0
e7qed11a,15,1,35,77.93,1,1,0,1,0,1,0,1,1,1
e7qed11a,15,1,36,61.42,1,1,0,1,0,1,1,1,1,1
e7qed11a,15,1,37,61.44,1,1,0,0,0,1,1,0,1,0
e7qed11a,15,1,38,58.15,1,1,0,0,0,0,1,0,1,0
e7qed11a,15,1,39,76.52,0,0,0,0,0,0,0,0,1,0
e7qed11a,15,1,40,65.45,0,0,0,0,0,0,0,0,1,0
e7qed11a,15,1,41,76.77,0,0,0,0,0,0,0,0,1,0
e7qed11a,15,1,42,90.11,0,0,0,0,0,0,0,0,1,0
e7qed11a,15,1,43,96.68,0,0,0,0,0,0,0,0,1,0
e7qed11a,15,1,44,100.65,0,0,0,0,0,0,0,0,1,1
e7qed11a,15,1,45,119.33,1,1,0,1,0,1,0,0,1,1
e7qed11a,15,1,46,104.68,1,1,0,1,0,1,1,0,1,1
e7qed11a,15,1,47,104.38,1,1,0,1,0,1,1,0,1,1
e7qed11a,15,1,48,101.06,1,1,0,1,0,1,1,0,1,1
e7qed11a,15,1,49,120.06,0,1,0,1,0,1,1,0,1,0
e7qed11a,15,1,50,110.88,0,1,0,1,0,1,1,0,1,0
e7qed11a,15,1,51,106.37,0,1,0,1,1,1,1,1,1,0
e7qed11a,15,1,52,97.56,1,1,0,1,1,1,1,1,1,1
e7qed11a,15,1,53,106.64,1,1,0,1,1,1,1,1,1,1
e7qed11a,15,1,54,112.25,1,1,0,1,0,1,0,1,1,1
e7qed11a,15,1,55,116,0,1,0,0,0,1,0,0,0,1
e7qed11a,15,1,56,82.06,0,1,1,0,0,1,0,1,0,1
e7qed11a,15,1,57,92.02,0,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,58,98.61,0,1,1,1,1,0,1,1,1,1
e7qed11a,15,1,59,107.21,1,1,1,1,0,0,1,1,1,1
e7qed11a,15,1,60,124.38,1,1,1,1,0,1,0,1,1,1
e7qed11a,15,1,61,108.08,1,1,1,1,0,1,0,1,1,1
e7qed11a,15,1,62,98.36,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,63,105.46,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,64,104.77,1,1,1,1,1,1,1,1,1,0
e7qed11a,15,1,65,100.92,0,1,1,0,1,1,0,1,0,1
e7qed11a,15,1,66,100.29,0,1,1,0,1,1,0,1,0,1
e7qed11a,15,1,67,103.71,0,1,1,0,1,1,0,1,1,1
e7qed11a,15,1,68,97.18,0,1,1,0,1,1,0,1,1,0
e7qed11a,15,1,69,91.87,1,1,1,0,1,1,1,1,1,0
e7qed11a,15,1,70,85.87,1,1,1,0,1,1,1,1,1,1
e7qed11a,15,1,71,85.8,0,1,0,0,1,1,1,1,1,1
e7qed11a,15,1,72,79.46,0,0,0,0,1,0,0,0,0,0
e7qed11a,15,1,73,59.68,0,0,0,0,1,0,0,0,0,0
e7qed11a,15,1,74,55.38,0,0,0,0,1,0,0,0,0,0
e7qed11a,15,1,75,60.07,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,76,56.94,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,77,71.78,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,78,104.05,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,79,118.41,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,80,114.93,0,1,1,0,0,1,0,0,1,1
e7qed11a,15,1,81,121.16,1,1,1,0,0,1,1,0,1,1
e7qed11a,15,1,82,119.34,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,83,108.8,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,84,96.57,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,85,94.04,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,86,115,0,1,0,1,0,0,1,0,0,0
e7qed11a,15,1,87,96.47,0,1,0,0,0,0,0,0,0,0
e7qed11a,15,1,88,105.03,0,1,0,0,0,1,0,0,1,1
e7qed11a,15,1,89,83.7,1,1,0,0,0,1,1,1,1,1
e7qed11a,15,1,90,92.83,0,1,1,0,0,1,1,1,0,1
e7qed11a,15,1,91,113.54,0,1,1,1,0,0,1,0,0,0
e7qed11a,15,1,92,125.78,0,1,0,1,0,0,0,0,0,0
e7qed11a,15,1,93,140.27,0,1,0,1,0,1,0,0,1,1
e7qed11a,15,1,94,141.51,1,1,0,1,1,1,1,1,1,1
e7qed11a,15,1,95,154.54,1,1,0,1,0,1,1,1,1,1
e7qed11a,15,1,96,144.62,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,97,148.3,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,98,139.2,1,1,1,1,1,1,1,1,1,1
e7qed11a,15,1,99,133.91,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,100,135.01,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,101,127.8,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,102,121.22,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,103,99.28,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,104,93.75,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,105,110.35,1,1,0,1,0,1,1,1,1,1
e7qed11a,15,1,106,109.03,0,1,0,1,0,1,0,0,0,0
e7qed11a,15,1,107,122.97,0,1,0,1,0,1,0,0,0,1
e7qed11a,15,1,108,93.31,1,1,1,1,0,1,1,0,1,1
e7qed11a,15,1,109,88.06,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,110,68.62,1,1,1,1,0,1,1,1,1,1
e7qed11a,15,1,111,95.05,0,1,1,1,0,1,0,0,0,1
e7qed11a,15,1,112,85.97,0,1,0,1,0,0,0,0,0,0
e7qed11a,15,1,113,91.17,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,114,85.89,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,115,102.86,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,116,107.82,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,117,118.72,1,0,0,0,0,1,0,0,0,1
e7qed11a,15,1,118,96.56,1,1,0,0,0,1,1,1,1,1
e7qed11a,15,1,119,75.58,1,1,1,0,0,1,1,1,1,1
e7qed11a,15,1,120,78.49,0,1,1,1,0,1,1,1,1,0
e7qed11a,15,1,121,75.67,0,1,0,1,0,0,0,0,0,0
e7qed11a,15,1,122,84.9,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,123,87.88,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,124,88.13,0,0,0,0,0,0,0,0,0,1
e7qed11a,15,1,125,72.94,0,0,0,0,0,0,0,0,0,1
e7qed11a,15,1,126,77.25,0,0,0,0,0,0,0,0,0,1
e7qed11a,15,1,127,86.79,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,128,80.34,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,129,69.14,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,130,93.33,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,131,83,0,0,0,0,0,0,0,0,0,0
e7qed11a,15,1,132,74.74,0,0,0,0,0,0,0,0,0,1
e7qed11a,15,1,133,69.78,1,0,0,0,0,0,1,0,0,1
