session_id,round_number,group_num,tick,x_t,p1_decision,p2_decision,p3_decision,p4_decision,p5_decision,p6_decision,p7_decision,p8_decision,p9_decision,p10_decision,p11_decision
985aspg7,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,2,74.43,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,3,73.95,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,4,88.6,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,5,100.47,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,6,85.19,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,7,81.29,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,8,87.38,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,9,100.42,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,10,97.19,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,11,109.92,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,12,97.34,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,13,112.26,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,14,132.78,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,15,129.95,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,16,123.5,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,17,118.61,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,18,104.8,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,19,116.03,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,20,113.67,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,21,102.73,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,22,117,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,23,95.47,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,24,85.89,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,25,75.99,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,26,83.43,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,27,87.47,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,28,90.56,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,29,99.85,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,30,111.5,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,31,117.65,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,32,93.17,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,33,98.61,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,34,86.44,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,35,78.23,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,36,68.76,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,37,70.39,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,38,78.2,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,39,69.5,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,40,78.62,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,41,91.44,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,42,87.83,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,43,78.96,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,44,81.28,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,45,108.03,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,46,102.24,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,47,103.04,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,48,105.45,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,49,85.57,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,50,101.12,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,51,104.27,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,52,110.19,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,53,138.71,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,54,128.29,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,55,123.79,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,56,107.04,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,57,95.34,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,58,85.81,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,59,83.89,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,60,80.04,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,61,70.82,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,62,81.75,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,63,87.54,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,64,124.17,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,65,126.7,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,66,110.61,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,67,115.92,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,68,101.03,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,69,82.16,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,70,73.84,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,71,88.18,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,72,107.26,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,73,114.42,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,74,124.57,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,75,139.34,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,76,140.65,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,77,163.01,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,78,172.87,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,79,169.53,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,80,152.49,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,81,139.42,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,82,132.88,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,83,139.92,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,84,144.13,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,85,136.65,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,86,134.38,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,87,143.41,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,88,141.41,1,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,89,138.93,0,1,1,1,1,1,1,1,1,1,1
985aspg7,1,1,90,121.38,0,1,0,0,1,1,1,1,1,0,1
985aspg7,1,1,91,107.01,0,1,0,0,1,0,1,1,1,0,1
985aspg7,1,1,92,101.89,0,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,93,96.03,0,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,94,95.16,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,95,107.71,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,96,88.19,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,97,62.83,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,98,36.63,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,99,48.38,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,100,54.37,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,101,57.07,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,102,47.95,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,103,50.64,1,0,0,0,1,0,1,0,0,0,1
985aspg7,1,1,104,50.02,1,0,0,0,1,0,1,0,0,0,1
