session_id,round_number,group_num,tick,x_t,p1_decision,p2_decision,p3_decision,p4_decision,p5_decision,p6_decision,p7_decision,p8_decision,p9_decision,p10_decision,p11_decision
cyvrt0m6,1,1,1,100,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,2,101.28,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,3,100.71,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,4,102.87,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,5,122.83,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,6,114.12,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,7,101.38,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,8,114.6,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,9,120.11,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,10,121.47,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,11,119.42,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,12,136.56,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,13,134.55,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,14,145.82,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,15,147.15,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,16,148.61,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,17,141.94,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,18,138,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,19,141.2,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,20,135.96,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,21,137.44,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,22,99.95,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,23,109.18,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,24,112.26,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,25,92.6,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,26,99.88,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,27,91.19,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,28,99.09,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,29,112.37,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,30,101.75,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,31,87.39,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,32,89.82,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,33,74.22,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,34,67.68,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,35,62.62,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,36,57.06,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,37,71.83,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,38,87.86,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,39,81.18,1,1,1,1,1,1,1,1,1,NA,NA
cyvrt0m6,1,1,40,75.26,1,1,1,1,1,1,1,1,1,NA,NA
