session_id,round_number,group_num,tick,x_t,p1_decision,p2_decision,p3_decision,p4_decision,p5_decision,p6_decision,p7_decision,p8_decision,p9_decision,p10_decision,p11_decision
vuqt36zr,15,1,1,100,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,2,119.38,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,3,113.71,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,4,98.68,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,5,101.66,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,6,78.88,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,7,74.39,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,8,89.54,1,1,1,1,1,1,1,1,1,1,NA
vuqt36zr,15,1,9,99.88,0,1,1,1,1,1,1,0,0,1,NA
vuqt36zr,15,1,10,93.81,0,0,0,1,1,1,0,0,0,1,NA
vuqt36zr,15,1,11,62.78,0,0,1,1,1,1,0,0,0,1,NA
vuqt36zr,15,1,12,68.98,0,1,1,1,0,1,0,1,1,1,NA
vuqt36zr,15,1,13,68.42,1,1,1,1,0,1,1,1,1,1,NA
vuqt36zr,15,1,14,93.59,1,1,1,1,0,1,1,1,0,1,NA
vuqt36zr,15,1,15,104.71,0,1,0,1,1,1,1,1,0,0,NA
vuqt36zr,15,1,16,78.41,0,1,0,1,1,0,0,1,0,0,NA
vuqt36zr,15,1,17,76.37,0,1,0,1,1,0,0,1,0,0,NA
vuqt36zr,15,1,18,80.66,1,1,0,1,1,0,1,1,0,0,NA
vuqt36zr,15,1,19,93.82,1,1,0,1,1,0,1,1,0,1,NA
vuqt36zr,15,1,20,99.84,0,1,1,1,1,0,1,1,0,1,NA
vuqt36zr,15,1,21,92.85,0,1,1,1,0,0,0,1,0,1,NA
vuqt36zr,15,1,22,93.32,0,1,1,1,0,0,0,1,1,1,NA
vuqt36zr,15,1,23,102.53,0,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,24,112.68,1,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,25,115.23,1,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,26,91.15,1,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,27,82.99,1,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,28,85.65,1,1,1,1,0,0,1,1,1,1,NA
vuqt36zr,15,1,29,88.01,0,1,0,1,1,0,1,1,1,1,NA
