session_id,round_number,group_num,tick,x_t,p1_decision,p2_decision,p3_decision,p4_decision,p5_decision,p6_decision,p7_decision,p8_decision,p9_decision,p10_decision,p11_decision
cbjguwr1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,2,91.51,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,3,85.44,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,4,93.5,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,5,107.23,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,6,113.16,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,7,119.43,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,8,117.58,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,9,112.2,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,10,117.78,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,11,119.6,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,12,96.68,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,13,104.16,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,14,128.09,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,15,106.32,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,16,95.47,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,17,113.27,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,18,116.19,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,19,119.83,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,20,114.7,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,21,113.25,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,22,77.03,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,23,63.84,1,1,1,1,1,1,1,1,1,1,NA
cbjguwr1,1,1,24,71.43,1,1,1,1,1,1,1,1,1,1,NA
